Code,School Name,Street,Suburb,State,Postcode,Postal Street,Postal Suburb,Postal State,Postal Postcode,Latitude,Longitude,Courier Code,Phone,Education Region,Broad Classification,Classification Group,KIN,PPR,Y01,Y02,Y03,Y04,Y05,Y06,Y07,Y08,Y09,Y10,Y11,Y12,USE,Total Students
1478,ALTA-1,4A/14 UPPILL PLACE,WANGARA,WA,6065,PO BOX 2104,WANGARA,WA,6947,-31.78537164,115.8133126,POST,08 9403 8200,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,0,0,0,0,0,0,0,0,0,163,0,0,492,41,0,696
5008,AMAROO PRIMARY SCHOOL,79 JONES STREET,COLLIE,WA,6225,79 JONES STREET,COLLIE,WA,6225,-33.35205078,116.14966304,POST,08 9734 1777,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,43,54,46,41,41,38,50,61,0,0,0,0,0,0,0,374
5841,ANNE HAMERSLEY PRIMARY SCHOOL,16 DUNNETT DRIVE,ELLENBROOK,WA,6069,16 DUNNETT DRIVE,ELLENBROOK,WA,6069,-31.74539641,116.00871729,POST,08 9297 7000,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,59,50,60,49,37,39,39,33,0,0,0,0,0,0,0,366
5509,ANZAC TERRACE PRIMARY SCHOOL,176 ANZAC TERRACE,BASSENDEAN,WA,6054,176 ANZAC TERRACE,BASSENDEAN,WA,6054,-31.89719261,115.93725306,POST,08 9279 9522,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,55,49,50,39,48,34,42,36,0,0,0,0,0,0,0,353
5010,APPLECROSS PRIMARY SCHOOL,65 KINTAIL ROAD,APPLECROSS,WA,6153,65 KINTAIL ROAD,APPLECROSS,WA,6153,-32.01084327,115.83959838,POST,08 9364 1792,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,77,81,65,66,69,68,66,73,0,0,0,0,0,0,0,565
4002,APPLECROSS SENIOR HIGH SCHOOL,LINKS ROAD,ARDROSS,WA,6153,LINKS ROAD,ARDROSS,WA,6153,-32.029376,115.83509,G50,08 9314 9393,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,0,0,0,0,0,0,0,0,250,270,241,246,251,238,0,1496
1107,AQUINAS COLLEGE,58 MT HENRY ROAD,SALTER POINT,WA,6152,LOCKED BAG 11,BENTLEY DC,WA,6983,-32.02617519,115.8617538,POST,08 9450 0600,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,18,22,22,24,0,56,72,72,175,171,177,186,180,175,0,1350
1100,ARANMORE CATHOLIC COLLEGE,41 FRANKLIN STREET,LEEDERVILLE,WA,6007,PO BOX 223,LEEDERVILLE,WA,6903,-31.92706854,115.8431695,POST,08 9444 9355,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,0,0,0,0,0,0,0,0,83,104,106,115,134,113,27,682
1241,ARANMORE CATHOLIC PRIMARY SCHOOL,20 BRENTHAM STREET,LEEDERVILLE,WA,6007,20 BRENTHAM STREET,LEEDERVILLE,WA,6007,-31.92790363,115.83923406,POST,08 9444 9366,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,72,43,62,53,51,58,52,56,0,0,0,0,0,0,0,447
5792,ARBOR GROVE PRIMARY SCHOOL,BROOKMOUNT DRIVE,ELLENBROOK,WA,6069,BROOKMOUNT DRIVE,ELLENBROOK,WA,6069,-31.77105084,115.962637,C193,08 9297 9300,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,80,85,81,94,102,89,79,87,0,0,0,0,0,0,0,697
5012,ARDROSS PRIMARY SCHOOL,46 LINKS ROAD,ARDROSS,WA,6153,46 LINKS ROAD,ARDROSS,WA,6153,-32.0274405,115.8346577,G40,08 9364 2771,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,50,36,46,57,56,54,73,49,0,0,0,0,0,0,0,421
6050,ARMADALE EDUCATION SUPPORT CENTRE,169 SOUTH WESTERN HIGHWAY,ARMADALE,WA,6112,PO BOX 189,ARMADALE,WA,6992,-32.16152603,116.01435232,POST,08 9497 6435,SOUTH METROPOLITAN,Education Support Centres,EDUCATION SUPPORT,0,0,0,0,0,0,0,0,11,10,3,9,10,12,0,55
5014,ARMADALE PRIMARY SCHOOL,1 CARRADINE ROAD,ARMADALE,WA,6112,1 CARRADINE ROAD,ARMADALE,WA,6112,-32.14823967,116.0264848,F200,08 9399 2200,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,40,48,51,51,55,70,64,58,0,0,0,0,0,0,0,437
4003,ARMADALE SENIOR HIGH SCHOOL,169 SOUTH WESTERN HIGHWAY,ARMADALE,WA,6112,PO BOX 189,ARMADALE,WA,6992,-32.16152603,116.01435232,POST,08 9497 6400,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,0,0,0,0,0,0,0,0,132,120,92,114,88,89,0,635
5676,ASHBURTON DRIVE PRIMARY SCHOOL,6 NULLAGINE WAY,GOSNELLS,WA,6110,6 NULLAGINE WAY,GOSNELLS,WA,6110,-32.0862307,115.98419759,F305,08 9490 1113,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,60,74,66,66,62,64,46,56,0,0,0,0,0,0,0,494
5786,ASHDALE PRIMARY SCHOOL,ASHDALE BOULEVARD,DARCH,WA,6065,ASHDALE BOULEVARD,DARCH,WA,6065,-31.80875751,115.8437538,B119,08 9406 6999,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,104,113,94,106,104,121,111,113,0,0,0,0,0,0,0,866
4181,ASHDALE SECONDARY COLLEGE,75 WESTPORT PARADE,DARCH,WA,6065,75 WESTPORT PARADE,DARCH,WA,6065,-31.81162275,115.84149519,B121,08 9302 7100,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,0,0,0,0,0,0,0,0,275,271,251,270,265,204,0,1536
5015,ASHFIELD PRIMARY SCHOOL,65 MARGARET STREET,ASHFIELD,WA,6054,65 MARGARET STREET,ASHFIELD,WA,6054,-31.91530992,115.94090176,C340,08 9377 0211,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,14,14,8,18,23,19,8,13,0,0,0,0,0,0,0,117
5854,ASPIRI PRIMARY SCHOOL,30 SUNRAY AVENUE,PIARA WATERS,WA,6112,30 SUNRAY AVENUE,PIARA WATERS,WA,6112,-32.139232,115.910977,UNKNOWN,08 9397 8300,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1287,ASSUMPTION CATHOLIC PRIMARY SCHOOL,22-34 GORDON ROAD,MANDURAH,WA,6210,PO BOX 3130,MANDURAH EAST,WA,6210,-32.50994328,115.7464321,POST,08 9583 8500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,77,57,56,60,59,53,53,58,0,0,0,0,0,0,0,473
1519,ATLANTIS BEACH BAPTIST COLLEGE,BREAKWATER DRIVE,TWO ROCKS,WA,6037,BREAKWATER DRIVE,TWO ROCKS,WA,6037,-31.473535,115.644623,POST,08 9544 3000,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,4,1,3,6,1,1,2,1,13,5,6,0,0,0,0,43
5016,ATTADALE PRIMARY SCHOOL,WICHMANN ROAD,ATTADALE,WA,6156,WICHMANN ROAD,ATTADALE,WA,6156,-32.02544682,115.8018145,G70,08 9330 3422,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,40,47,48,51,44,47,50,36,0,0,0,0,0,0,0,363
4184,ATWELL COLLEGE,201 BRENCHLEY DRIVE,ATWELL,WA,6164,201 BRENCHLEY DRIVE,ATWELL,WA,6164,-32.14395682,115.86414624,H259,08 6174 2200,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,0,0,0,0,0,0,0,0,264,269,235,247,219,166,0,1400
5765,ATWELL PRIMARY SCHOOL,160 LYDON BOULEVARD,ATWELL,WA,6164,160 LYDON BOULEVARD,ATWELL,WA,6164,-32.13527555,115.86782796,H257,08 9414 5017,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,88,96,99,95,113,103,108,98,0,0,0,0,0,0,0,800
5820,AUBIN GROVE PRIMARY SCHOOL,85 CAMDEN BOULEVARD,AUBIN GROVE,WA,6164,85 CAMDEN BOULEVARD,AUBIN GROVE,WA,6164,-32.17306065,115.86235222,H258A,08 9499 4009,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,147,143,174,149,162,140,145,96,0,0,0,0,0,0,0,1156
5017,AUGUSTA PRIMARY SCHOOL,32 ALLNUTT TERRACE,AUGUSTA,WA,6290,PO BOX 106,AUGUSTA,WA,6290,-34.31671839,115.1595029,POST,08 9758 1525,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,6,7,9,7,9,8,3,2,0,0,0,0,0,0,0,51
1487,AUSTIN COVE BAPTIST COLLEGE,INLET BOULEVARD,SOUTH YUNDERUP,WA,6208,PO BOX 717,PINJARRA,WA,6208,-32.59324476,115.8065154,POST,08 9537 7177,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,25,32,41,39,34,28,40,30,32,49,51,28,37,37,0,503
1491,AUSTRALIAN CHRISTIAN COLLEGE - DARLING DOWNS,10 NINTH ROAD,HILBERT,WA,6112,10 NINTH ROAD,HILBERT,WA,6112,-32.17468068,116.0042944,POST,08 9391 1500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,4,6,7,7,4,6,1,3,0,0,0,0,0,0,0,38
1438,AUSTRALIAN CHRISTIAN COLLEGE - SOUTHLANDS,26 BREWSTER ROAD,ALBANY,WA,6330,LOCKED BAG 5,ALBANY,WA,6330,-34.99550802,117.9227056,POST,08 9892 5100,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,8,5,9,8,18,16,28,21,52,39,63,49,23,7,0,346
1441,AUSTRALIAN ISLAMIC COLLEGE - KEWDALE,139 PRESIDENT STREET,KEWDALE,WA,6105,PO BOX 252,CLOVERDALE,WA,6985,-31.97999061,115.9325273,POST,08 9362 5340,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,54,90,83,76,81,90,83,102,110,123,131,126,126,109,0,1384
1391,AUSTRALIAN ISLAMIC COLLEGE - NORTH OF THE RIVER,81 CLEVELAND STREET,DIANELLA,WA,6059,PO BOX 252,CLOVERDALE,WA,6985,-31.90293601,115.87444672,POST,08 9375 9770,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,50,60,91,97,94,85,92,82,68,27,31,14,0,0,0,791
1331,AUSTRALIAN ISLAMIC COLLEGE - PERTH,17 TONBRIDGE WAY,THORNLIE,WA,6108,PO BOX 252,CLOVERDALE,WA,6985,-32.05402507,115.96113961,POST,08 9493 2718,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,51,59,67,67,64,57,45,36,39,23,18,12,0,0,0,538
5629,AUSTRALIND PRIMARY SCHOOL,BARNES AVENUE,AUSTRALIND,WA,6233,PO BOX A630,AUSTRALIND,WA,6233,-33.28059897,115.7271368,POST,08 9796 3900,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,20,22,19,31,36,30,36,30,0,0,0,0,0,0,0,224
4146,AUSTRALIND SENIOR HIGH SCHOOL,12 BREAK O'DAY DRIVE,AUSTRALIND,WA,6233,12 BREAK O'DAY DRIVE,AUSTRALIND,WA,6233,-33.27665965,115.72843646,POST,08 9797 4400,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,0,0,0,0,0,0,0,0,269,251,216,247,175,169,0,1327
5853,AVELEY NORTH PRIMARY SCHOOL,77 STRINESDALE BLVD,AVELEY,WA,6069,77 STRINESDALE BLVD,AVELEY,WA,6069,-31.77818,115.989332,UNKNOWN,08 9297 7800,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5821,AVELEY PRIMARY SCHOOL,8 BOLERO ROAD,AVELEY,WA,6069,8 BOLERO ROAD,AVELEY,WA,6069,-31.79108088,115.9905586,C194,08 6296 5466,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,97,101,101,95,92,84,81,66,0,0,0,0,0,0,0,717
4209,AVELEY SECONDARY COLLEGE,MAFFINA PARADE,ELLENBROOK,WA,6069,MAFFINA PARADE,ELLENBROOK,WA,6069,-31.766023,115.987542,UNKNOWN,08 6296 1000,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6041,AVONVALE EDUCATION SUPPORT CENTRE,HUTT STREET,NORTHAM,WA,6401,PO BOX 1061,NORTHAM,WA,6401,-31.64551218,116.6613138,POST,08 9622 3610,WHEATBELT,Education Support Centres,EDUCATION SUPPORT,0,1,1,4,3,2,1,1,0,1,2,1,1,0,0,18
5018,AVONVALE PRIMARY SCHOOL,HUTT STREET,NORTHAM,WA,6401,PO BOX 666,NORTHAM,WA,6401,-31.64551218,116.6613138,POST,08 9622 1489,WHEATBELT,Primary Schools,PRIMARY SCHOOLS,16,19,23,18,17,26,27,21,0,0,0,0,0,0,0,167
5020,BABAKIN PRIMARY SCHOOL,FARRAR STREET,BABAKIN,WA,6428,PO BOX 288,CORRIGIN,WA,6375,-32.12359155,118.0209226,POST,08 9065 2023,WHEATBELT,Primary Schools,PRIMARY SCHOOLS,1,1,2,1,1,2,1,3,0,0,0,0,0,0,0,12
5021,BADGINGARRA PRIMARY SCHOOL,MCNAMARA ROAD,BADGINGARRA,WA,6521,C/- POST OFFICE,BADGINGARRA,WA,6521,-30.4024941,115.550545,POST,08 9652 9060,MIDWEST,Primary Schools,PRIMARY SCHOOLS,3,4,3,3,4,3,3,3,0,0,0,0,0,0,0,26
5022,BAKERS HILL PRIMARY SCHOOL,33 SAINT GEORGE STREET,BAKERS HILL,WA,6562,33 SAINT GEORGE STREET,BAKERS HILL,WA,6562,-31.75120467,116.4615984,POST,08 9574 1411,WHEATBELT,Primary Schools,PRIMARY SCHOOLS,18,24,23,27,12,16,16,20,0,0,0,0,0,0,0,156
5023,BALCATTA PRIMARY SCHOOL,387 MAIN STREET,BALCATTA,WA,6021,387 MAIN STREET,BALCATTA,WA,6021,-31.88093054,115.82727286,POST,08 9345 8100,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,40,37,32,27,16,24,18,23,0,0,0,0,0,0,0,217
4004,BALCATTA SENIOR HIGH SCHOOL,31 POINCAIRE STREET,BALCATTA,WA,6021,31 POINCAIRE STREET,BALCATTA,WA,6021,-31.87551716,115.81224294,A430,08 9345 8200,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,0,0,0,0,0,0,0,0,104,85,108,101,111,92,0,601
5847,BALDIVIS GARDENS PRIMARY SCHOOL,NADINE PROMENADE,BALDIVIS,WA,6171,NADINE PROMENADE,BALDIVIS,WA,6171,-32.300823,115.810062,POST,08 9523 7000,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,56,46,38,25,28,27,23,9,0,0,0,0,0,0,0,252
5024,BALDIVIS PRIMARY SCHOOL,214 FIFTY ROAD,BALDIVIS,WA,6171,214 FIFTY ROAD,BALDIVIS,WA,6171,-32.30718679,115.81747219,H205,08 9524 1150,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,95,99,92,95,99,92,89,98,0,0,0,0,0,0,0,759
4190,BALDIVIS SECONDARY COLLEGE,STILLWATER DRIVE,BALDIVIS,WA,6171,PO BOX 2175,ROCKINGHAM DC,WA,6967,-32.334099,115.828418,H208,08 9523 3600,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,0,0,0,0,0,0,0,0,351,324,271,276,245,210,0,1677
5580,BALER PRIMARY SCHOOL,BALER CLOSE,SOUTH HEDLAND,WA,6722,BALER CLOSE,SOUTH HEDLAND,WA,6722,-20.40461541,118.6124558,POST,08 9172 1955,PILBARA,Primary Schools,PRIMARY SCHOOLS,81,73,88,71,71,86,47,59,0,0,0,0,0,0,0,576
5025,BALGA PRIMARY SCHOOL,11 FERNHURST CRESCENT,BALGA,WA,6061,11 FERNHURST CRESCENT,BALGA,WA,6061,-31.86059553,115.84480009,B250,08 9344 2602,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,20,21,24,19,18,16,21,20,0,0,0,0,0,0,0,159
4050,BALGA SENIOR HIGH SCHOOL,2 MARKHAM WAY,BALGA,WA,6061,2 MARKHAM WAY,BALGA,WA,6061,-31.85134146,115.8465042,B210,08 9247 0222,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,0,0,0,0,0,0,0,0,75,86,90,127,86,72,0,536
5027,BALINGUP PRIMARY SCHOOL,CNR BROCKMAN AND STEERE STS,BALINGUP,WA,6253,PO BOX 372,BALINGUP,WA,6253,-33.78633822,115.9822069,POST,08 9764 1093,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,12,5,7,6,6,4,8,6,0,0,0,0,0,0,0,54
4158,BALLAJURA COMMUNITY COLLEGE,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,-31.84474671,115.8934345,B179,08 9262 7777,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,0,0,0,0,0,0,0,0,220,208,248,228,232,219,0,1355
5702,BALLAJURA PRIMARY SCHOOL,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,-31.83593382,115.892303,POST,08 9338 2200,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,87,97,75,97,89,90,85,84,0,0,0,0,0,0,0,704
5609,BAMBARA PRIMARY SCHOOL,30 GOSSE ROAD,PADBURY,WA,6025,30 GOSSE ROAD,PADBURY,WA,6025,-31.79830122,115.7614207,A200,08 9307 5911,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,21,25,28,19,21,25,19,16,0,0,0,0,0,0,0,174
5762,BANKSIA GROVE PRIMARY SCHOOL,14 VIRIDIAN DRIVE,BANKSIA GROVE,WA,6031,14 VIRIDIAN DRIVE,BANKSIA GROVE,WA,6031,-31.70254405,115.80896211,POST,08 9233 6333    ,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,101,90,64,76,78,78,77,65,0,0,0,0,0,0,0,629
1577,BANKSIA MONTESSORI SCHOOL,17 CHATTON STREET,DIANELLA,WA,6059,17 CHATTON STREET,DIANELLA,WA,6059,-31.89277585,115.86928226,POST,08 9275 5997,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,26
5701,BANKSIA PARK PRIMARY SCHOOL,HICKS STREET,LEEMING,WA,6149,HICKS STREET,LEEMING,WA,6149,-32.07166263,115.8754583,G277,08 9266 6400,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,29,32,34,30,33,47,42,45,0,0,0,0,0,0,0,292
5817,BANNISTER CREEK PRIMARY SCHOOL,20 PURLEY CRESCENT,LYNWOOD,WA,6147,20 PURLEY CRESCENT,LYNWOOD,WA,6147,-32.0397245,115.92850215,F430,08 9350 9588,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,63,68,81,71,65,70,59,65,0,0,0,0,0,0,0,542
5030,BASSENDEAN PRIMARY SCHOOL,70 WEST ROAD,BASSENDEAN,WA,6054,70 WEST ROAD,BASSENDEAN,WA,6054,-31.90747284,115.9534451,C320,08 9377 2330,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,40,29,41,38,48,40,47,44,0,0,0,0,0,0,0,327
5519,BATEMAN PRIMARY SCHOOL,2 BARTLING CRESCENT,BATEMAN,WA,6150,2 BARTLING CRESCENT,BATEMAN,WA,6150,-32.05066001,115.84534145,G260,08 6258 6900,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,20,33,29,26,39,35,42,36,0,0,0,0,0,0,0,260
5830,BAYNTON WEST PRIMARY SCHOOL,MARNIYARRA LOOP,BAYNTON,WA,6714,MARNIYARRA LOOP,BAYNTON,WA,6714,-20.75252283,116.79939,POST,08 9185 3001,PILBARA,Primary Schools,PRIMARY SCHOOLS,115,94,110,81,102,92,86,77,0,0,0,0,0,0,0,757
5031,BAYSWATER PRIMARY SCHOOL,MURRAY STREET,BAYSWATER,WA,6053,MURRAY STREET,BAYSWATER,WA,6053,-31.92081606,115.9117733,POST,08 9462  6600,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,61,55,60,52,36,40,50,28,0,0,0,0,0,0,0,382
5190,BAYULU REMOTE COMMUNITY SCHOOL,GOGO STATION ROAD,VIA FITZROY CROSSING,WA,6765,PO BOX 76,FITZROY CROSSING,WA,6765,-18.28637,125.58345,POST,08 9191 5093,KIMBERLEY,Remote Community Schools,PRIMARY SCHOOLS,11,8,8,15,10,13,20,16,0,0,0,0,0,0,0,101
5032,BEACHLANDS PRIMARY SCHOOL,50 WHITFIELD STREET,GERALDTON,WA,6530,PO BOX 7170,GERALDTON PO,WA,6531,-28.78770753,114.6043717,POST,08 9921 1793,MIDWEST,Primary Schools,PRIMARY SCHOOLS,21,11,26,16,18,12,17,11,0,0,0,0,0,0,0,132
5033,BEACON PRIMARY SCHOOL,BROADBENT STREET,BEACON,WA,6472,C/- POST OFFICE,BEACON,WA,6472,-30.45065535,117.8688978,POST,08 9686 1022,WHEATBELT,Primary Schools,PRIMARY SCHOOLS,4,3,2,2,4,3,6,7,4,0,0,0,0,0,0,35
5034,BEACONSFIELD PRIMARY SCHOOL,5 HALE STREET,BEACONSFIELD,WA,6162,5 HALE STREET,BEACONSFIELD,WA,6162,-32.068989,115.7593864,G160,08 9430 7055,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,39,39,68,52,54,47,42,48,0,0,0,0,0,0,0,389
5720,BEAUMARIS PRIMARY SCHOOL,BEAUMARIS BOULEVARD,OCEAN REEF,WA,6027,BEAUMARIS BOULEVARD,OCEAN REEF,WA,6027,-31.74874488,115.7355529,A256F,08 6206 3100,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,70,97,75,101,86,114,90,101,0,0,0,0,0,0,0,734
5084,BECKENHAM PRIMARY SCHOOL,386 RAILWAY PARADE,BECKENHAM,WA,6107,386 RAILWAY PARADE,BECKENHAM,WA,6107,-32.02408598,115.95730406,POST,08 9458 4666,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,39,68,56,55,60,70,43,51,0,0,0,0,0,0,0,442
